12-Jun,21:00,Brazil,Croatia
13-Jun,17:00,Mexico,Cameroon
13-Jun,20:00,Spain,Netherlands
13-Jun,23:00,Chile,Australia
14-Jun,17:00,Colombia,Greece
14-Jun,23:00,Ivory Coast,Japan
14-Jun,20:00,Uruguay,Costa Rica
15-Jun,2:00,England,Italy
15-Jun,17:00,Switzerland,Ecuador
15-Jun,20:00,France,Honduras
15-Jun,23:00,Argentina,Bosnia-Herzegovina
16-Jun,20:00,Iran,Nigeria
16-Jun,17:00,Germany,Portugal
16-Jun,23:00,Ghana,USA
17-Jun,17:00,Belgium,Algeria
17-Jun,23:00,Russia,South Korea
17-Jun,20:00,Brazil,Mexico
18-Jun,20:00,Cameroon,Croatia
18-Jun,23:00,Spain,Chile
18-Jun,17:00,Australia,Netherlands
19-Jun,17:00,Colombia,Ivory Coast
19-Jun,23:00,Japan,Greece
19-Jun,20:00,Uruguay,England
20-Jun,17:00,Italy,Costa Rica
20-Jun,20:00,Switzerland,France
20-Jun,23:00,Honduras,Ecuador
21-Jun,17:00,Argentina,Iran
21-Jun,23:00,Nigeria,Bosnia-Herzegovina
21-Jun,20:00,Germany,Ghana
22-Jun,20:00,USA,Portugal
22-Jun,23:00,Belgium,Russia
22-Jun,17:00,South Korea,Algeria
23-Jun,21:00,Cameroon,Brazil
23-Jun,21:00,Croatia,Mexico
23-Jun,17:00,Australia,Spain
23-Jun,17:00,Netherlands,Chile
24-Jun,21:00,Japan,Colombia
24-Jun,21:00,Greece,Ivory Coast
24-Jun,17:00,Italy,Uruguay
24-Jun,17:00,Costa Rica,England
25-Jun,21:00,Honduras,Switzerland
25-Jun,21:00,Ecuador,France
25-Jun,17:00,Nigeria,Argentina
25-Jun,17:00,Bosnia-Herzegovina,Iran
26-Jun,17:00,USA,Germany
26-Jun,17:00,Portugal,Ghana
26-Jun,21:00,South Korea,Belgium
26-Jun,21:00,Algeria,Russia
